application_number,corpus_role,project_name,community_district,vote_date,vote_year,lead_report_flag,pdf_url,report_stem,index_omission_evidence,validation_coder,validation_date,source_usable,source_unavailable_reason,vote_date_basis
C 810293 HDX,certified_ulurp_report,"788 FOX ST, 183-866 BECK ST, 1244-46 WESTCHESTER A",BX 02,09/16/1981,1981,FALSE,,810293,"The ZAP project API records a completed CPC vote on September 16, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1981X0734?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 810605 ZSM,certified_ulurp_report,REPUBLIC NATIONAL BANK,MN 05,10/13/1981,1981,FALSE,,810605,"The ZAP project API records a completed CPC vote on October 13, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1981M1035?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 810614 HDM,certified_ulurp_report,31-33 & 51-53 W129TH ST,MN 10,11/30/1981,1981,FALSE,,810614,"The ZAP project API records a completed CPC vote on November 30, 1981 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1981M1041?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 820078 MMQ,certified_ulurp_report,41ST ST BETWEEN 246 ST AND 247 ST,QN 11,05/05/1982,1982,FALSE,,820078,"The ZAP project API records a completed CPC vote on May 5, 1982 with outcome Disapproval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1982Q0045?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 830073 PER,certified_ulurp_report,ROCHESTER ST E/S/O BEACONLIGHT PL BARCLAY AVE S/S/,SI 03,10/20/1982,1982,FALSE,,830073,"The ZAP project API records a completed CPC vote on October 20, 1982 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1983R0077?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 820394 MMQ,certified_ulurp_report,FRANCIS LEWIS BLVD BET CANEY LA & 253 ST,QN 13,01/19/1983,1983,FALSE,,820394,"The ZAP project API records a completed CPC vote on January 19, 1983 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1982Q0359?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 830500 ZSM,certified_ulurp_report,4&6 E62ND ST,MN 08,03/09/1983,1983,FALSE,,830500,"The ZAP project API records a completed CPC vote on March 9, 1983 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1983M0459?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 830547 HAM,certified_ulurp_report,139 PITT ST,MN 03,03/09/1983,1983,FALSE,,830547,"The ZAP project API records a completed CPC vote on March 9, 1983 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1983M0505?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 830488 PSX,certified_ulurp_report,466-472 GRAND CONCOURSE,BX 01,06/01/1983,1983,FALSE,,830488,"The ZAP project API records a completed CPC vote on June 1, 1983 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1983X0447?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 821044 TCM,certified_ulurp_report,CORNELIA ST CAFE,MN 02,06/27/1983,1983,FALSE,,821044,"The ZAP project API records a completed CPC vote on June 27, 1983 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1982M1375?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 840098 HAQ,certified_ulurp_report,NORTH CORONA GUT REHAB,QN 03,11/02/1983,1983,FALSE,,840098,"The ZAP project API records a completed CPC vote on November 2, 1983 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1984Q0087?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 830491 ZSM,certified_ulurp_report,104-110 GREENE ST A/K/A 123-125 MERCER ST,MN 02,11/04/1985,1985,FALSE,,830491,"The ZAP project API records a completed CPC vote on November 4, 1985 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1983M0450?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 861019 PPK,certified_ulurp_report,1004 RUTLAND RD,BK 17,09/17/1986,1986,FALSE,,861019,"The ZAP project API records a completed CPC vote on September 17, 1986 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1986K0864?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 870539 PSQ,certified_ulurp_report,NEW YORK BLVD FAMILY RESID CENTER,QN 13,07/13/1987,1987,FALSE,,870539,"The ZAP project API records a completed CPC vote on July 13, 1987 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1987Q0469?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 860071 MMX,certified_ulurp_report,TIFFANY ST BET GARRISON AVE & BRUCKNER BLVD,BX 02,07/08/1987,1987,FALSE,,860071,"The ZAP project API records a completed CPC vote on July 8, 1987 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1986X0061?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 870514 MMX,certified_ulurp_report,HALPERIN AVE DEMAPPING,BX 11,02/03/1988,1988,FALSE,,870514,"The ZAP project API records a completed CPC vote on February 3, 1988 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1987X0447?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 800919 MMQ,certified_ulurp_report,WHITESTONE SHOPPING CENTER,QN 07,06/01/1988,1988,FALSE,,800919,"The ZAP project API records a completed CPC vote on June 1, 1988 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1981Q0319?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 870546 GFM,certified_ulurp_report,SLOAN-KETTERING INSTITUTE,MN 08,02/03/1988,1988,FALSE,,870546,"The ZAP project API records a completed CPC vote on February 3, 1988 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1987M0476?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 880347 HUX,certified_ulurp_report,UNIVERSITY HEIGHTS URA,BX 05,03/31/1988,1988,FALSE,,880347,"The ZAP project API records a completed CPC vote on March 31, 1988 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1988X0310?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 880348 HDX,certified_ulurp_report,UNIVERSITY HEIGHTS URA,BX 05,03/31/1988,1988,FALSE,,880348,"The ZAP project API records a completed CPC vote on March 31, 1988 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1988X0310?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 870806 AZSX,certified_ulurp_report,SHOREHAVEN,BX 09,02/17/1988,1988,FALSE,,870806,"The ZAP project API records a completed CPC vote on February 17, 1988 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1988X0442?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 880117 HAM,certified_ulurp_report,CASA VICTORIA,MN 03,05/23/1988,1988,FALSE,,880117,"The ZAP project API records a completed CPC vote on May 23, 1988 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1988M0092?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 880752 HDQ,certified_ulurp_report,"SOUTH JAMAICA I, SITE 10C",QN 12,10/19/1988,1988,FALSE,,880752,"The ZAP project API records a completed CPC vote on October 19, 1988 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1988Q0688?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 890686 PPK,certified_ulurp_report,C-O-P,BK 13,07/26/1989,1989,FALSE,,890686,"The ZAP project API records a completed CPC vote on July 26, 1989 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1989K0626?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 900133 HDM,certified_ulurp_report,602-604 W132ND ST,MN 09,11/29/1989,1989,FALSE,,900133,"The ZAP project API records a completed CPC vote on November 29, 1989 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1990M0087?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 900023 ZMK,certified_ulurp_report,BRIGHTON-BY-THE-SEA,BK 13,01/22/1990,1990,FALSE,,900023,"The ZAP project API records a completed CPC vote on January 22, 1990 with outcome Fail to Adopt. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1990K0009?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 900024 ZSK,certified_ulurp_report,BRIGHTON-BY-THE-SEA,BK 13,01/22/1990,1990,FALSE,,900024,"The ZAP project API records a completed CPC vote on January 22, 1990 with outcome Fail to Adopt. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1990K0009?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 900025 ZSK,certified_ulurp_report,BRIGHTON-BY-THE-SEA,BK 13,01/22/1990,1990,FALSE,,900025,"The ZAP project API records a completed CPC vote on January 22, 1990 with outcome Fail to Adopt. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1990K0009?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 900135 HDK,certified_ulurp_report,224 LEFFERTS AVE,BK 09,11/29/1989,1989,FALSE,,900135,"The ZAP project API records a completed CPC vote on November 29, 1989 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1990K0089?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 870233 MMK,certified_ulurp_report,BROOKLYN AVE BRIDGE,BK 17,02/28/1990,1990,FALSE,,870233,"The ZAP project API records a completed CPC vote on February 28, 1990 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1987K0201?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 870235 MMK,certified_ulurp_report,15TH AVE BRIDGE,BK 11,03/14/1990,1990,FALSE,,870235,"The ZAP project API records a completed CPC vote on March 14, 1990 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1987K0203?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 900134 HDK,certified_ulurp_report,51 CLIFTON PL,BK 02,02/28/1990,1990,FALSE,,900134,"The ZAP project API records a completed CPC vote on February 28, 1990 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1990K0088?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 910084 HDM,certified_ulurp_report,TANYA TOWERS II,MN 03,08/14/1991,1991,FALSE,,910084,"The ZAP project API records a completed CPC vote on August 14, 1991 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1991M0070?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 910405 HDM,certified_ulurp_report,NY FOUNDATION FOR SR CITIZENS,MN 03,08/14/1991,1991,FALSE,,910405,"The ZAP project API records a completed CPC vote on August 14, 1991 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1991M0326?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 910437 HDX,certified_ulurp_report,MONSIGNOR FIORENTINO APTS,BX 11,08/14/1991,1991,FALSE,,910437,"The ZAP project API records a completed CPC vote on August 14, 1991 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1991X0342?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 920045 HDK,certified_ulurp_report,DUPONT ST SR HOUSING,BK 01,03/25/1992,1992,FALSE,,920045,"The ZAP project API records a completed CPC vote on March 25, 1992 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1992K0032?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 910229 PCK,certified_ulurp_report,111 29TH ST A/K/A 820 3RD AVE,BK 07,04/14/1993,1993,FALSE,,910229,"The ZAP project API records a completed CPC vote on April 14, 1993 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1991K0201?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 920149 ZMX,certified_ulurp_report,CROSSTOWN DINER,BX 10,08/04/1993,1993,FALSE,,920149,"The ZAP project API records a completed CPC vote on August 4, 1993 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1992X0124?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 910513 ZMQ,certified_ulurp_report,PHILIPS FUNERAL HOME,QN 12,08/10/1994,1994,FALSE,,910513,"The ZAP project API records a completed CPC vote on August 10, 1994 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1991Q0399?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 940369 ZSQ,certified_ulurp_report,WATERFRONT CRAB HOUSE,QN 02,11/16/1994,1994,FALSE,,940369,"The ZAP project API records a completed CPC vote on November 16, 1994 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1994Q0279?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 950441 HAM,certified_ulurp_report,PROJECT LINKAGE,MN 11,09/23/1995,1995,FALSE,,950441,"The ZAP project API records a completed CPC vote on September 23, 1995 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1995M0295?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 950187 DMM,certified_ulurp_report,C-O-P (6 PARCELS),MN 06,12/13/1995,1995,FALSE,,950187,"The ZAP project API records a completed CPC vote on December 13, 1995 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1995M0137?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 950196 DMR,certified_ulurp_report,C-O-P (1 PARCEL),SI 03,11/01/1995,1995,FALSE,,950196,"The ZAP project API records a completed CPC vote on November 1, 1995 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1995R0145?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 940720 PCQ,certified_ulurp_report,DOH GARAGE,QN 02,01/31/1996,1996,FALSE,,940720,"The ZAP project API records a completed CPC vote on January 31, 1996 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1994Q0510?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 960413 DMM,certified_ulurp_report,C-O-P,MN 11,08/21/1996,1996,FALSE,,960413,"The ZAP project API records a completed CPC vote on August 21, 1996 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1996M0272?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 990488 ZSM,certified_ulurp_report,HUDSON SQUARE BUILDING,MN 01,07/26/2000,2000,FALSE,,990488,"The ZAP project API records a completed CPC vote on July 26, 2000 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1999M0289?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 990719 ZMK,certified_ulurp_report,FLATLANDS SHOPRITE,BK 18,01/08/2001,2001,FALSE,,990719,"The ZAP project API records a completed CPC vote on January 8, 2001 with outcome Fail to Adopt. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1999K0430?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 990720 MMK,certified_ulurp_report,FLATLANDS SHOPRITE,BK 18,01/08/2001,2001,FALSE,,990720,"The ZAP project API records a completed CPC vote on January 8, 2001 with outcome Fail to Adopt. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P1999K0430?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 000680 PPQ,certified_ulurp_report,C-O-P,QN 02,12/13/2000,2000,FALSE,,000680,"The ZAP project API records a completed CPC vote on December 13, 2000 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P2000Q0393?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 000663 PPX,certified_ulurp_report,C-O-P/BRUSH AVE II SITE,BX 10,12/27/2000,2000,FALSE,,000663,"The ZAP project API records a completed CPC vote on December 27, 2000 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P2000X0377?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 120039 ZSM,certified_ulurp_report,70 GREENE STREET,MN 02,01/04/2012,2012,FALSE,,120039,"The ZAP project API records a completed CPC vote on January 4, 2012 with outcome Approval. The action is absent from the DCP CPC Reports index, and no authentic CPC report is posted at the DCP or ZAP public document routes. Evidence: https://zap-api-production.herokuapp.com/projects/P2012M0018?include=actions,milestones",codex_gpt5_source_review,2026-07-11,0,"No authentic CPC report is posted in the DCP index, direct report route, or ZAP public document route.",zap_project_api_cpc_vote_milestone
C 950019 PQK,certified_ulurp_report,DOS Brooklyn E 9 Garage,BK 09,10/16/1995,1995,FALSE,,950019,"The official CPC disposition sheet records that the Commission failed to adopt the favorable report on October 16, 1995. The application is absent from the DCP CPC Reports index, and no authentic CPC report is posted. Evidence: https://s-media.nyc.gov/agencies/dcp/assets/files/pdf/about/commission/public-meetings/1995-10-16sm.pdf",codex_gpt5_source_review,2026-07-11,0,The Commission failed to adopt the favorable report; no authentic CPC report is posted in the DCP index or public document routes.,official_cpc_disposition_failed_to_adopt
